callsign,icao24,latitude,longitude,on_ground,origin_country,velocity,baro_alt,vertical_rate,category,geo_altitude,airline_code,velocity_knots,vertical_rate_fpm,baro_alt_fpm
FDB7RC,896514,36.7623,26.8791,False,United Arab Emirates,192.38,9098.28,-10.4,0,9700.26,FDB,373.95594,-2047.24,9098.28
TCUUM,4bd6ad,40.0523,26.2947,False,Turkey,56.02,853.44,0.0,0,982.98,TCU,108.89392,0.0,853.44
UAE8UW,89647c,40.7643,25.557,False,United Arab Emirates,270.39,11887.2,0.0,0,12512.04,UAE,525.5949,0.0,11887.2
UAE4PY,89647d,39.1107,34.1693,False,United Arab Emirates,234.87,11582.4,0.0,0,12153.9,UAE,456.5497,0.0,11582.4
FDB4XE,89648d,37.1732,29.6287,False,United Arab Emirates,206.39,8671.56,-11.7,4,,FDB,401.18914,-2303.145,8671.56
UAE238,89644f,39.4959,27.8963,False,United Arab Emirates,267.96,10668.0,0.0,0,11285.22,UAE,520.87137,0.0,10668.0
ETD11K,896439,40.3158,26.2616,False,United Arab Emirates,271.85,11887.2,-0.33,0,12519.66,ETD,528.4329,-64.9605,11887.2
AIZ416,738446,38.2715,35.5729,False,Israel,236.41,10668.0,0.0,0,11216.64,AIZ,459.54321,0.0,10668.0
UAE93Q,89649f,37.3652,34.8647,False,United Arab Emirates,266.5,11277.6,-0.33,0,11887.2,UAE,518.03336,-64.9605,11277.6
VSV5277,683268,39.9431,39.2919,False,Kazakhstan,243.39,10668.0,0.33,0,11125.2,VSV,473.11122,64.9605,10668.0
THY8YF,4bb055,40.637,28.947,False,Turkey,223.85,6431.28,8.13,0,6842.76,THY,435.12858,1600.3905000000002,6431.28
THY94E,4bb061,41.0158,29.2556,False,Turkey,139.24,2263.14,-5.2,0,2461.26,THY,270.66028,-1023.62,2263.14
FDB3NC,8964d4,41.4804,30.5093,False,United Arab Emirates,216.33,7818.12,0.0,0,11529.06,FDB,420.51091,0.0,7818.12
LWA103,01808f,41.1807,28.9421,False,Libyan Arab Jamahiriya,182.09,4579.62,15.61,0,4770.12,LWA,353.95383,3072.8284999999996,4579.62
UAE102,896624,39.5915,27.7094,False,United Arab Emirates,273.24,11887.2,0.0,0,12519.66,UAE,531.13484,0.0,11887.2
THY2FQ,4bb075,41.2399,28.7078,False,Turkey,68.94,160.02,-3.9,0,281.94,THY,134.00833,-767.7149999999999,160.02
UAE44,89661f,38.7397,29.3323,False,United Arab Emirates,273.4,11887.2,0.33,0,12519.66,UAE,531.44586,64.9605,11887.2
THY6TU,4bb06f,41.4462,28.5844,False,Turkey,135.61,2133.6,13.33,0,2278.38,THY,263.60414,2624.0105,2133.6
KLM567,485f83,37.5628,29.7675,False,Kingdom of the Netherlands,269.98,11277.6,0.0,0,11948.16,KLM,524.79792,0.0,11277.6
RJA166,740826,41.0166,28.9264,False,Jordan,212.04,4503.42,10.4,0,4808.22,RJA,412.17183,2047.24,4503.42
AHY061,60084d,36.8302,29.98,False,Azerbaijan,207.78,7132.32,-8.78,0,7597.14,AHY,403.89108,-1728.3429999999998,7132.32
AHY024,60084f,40.0766,41.3103,False,Azerbaijan,275.82,11277.6,-0.33,0,11795.76,AHY,536.14995,-64.9605,11277.6
FHY717,4b9910,38.7535,30.7067,False,Turkey,222.64,9349.74,3.9,0,9913.62,FHY,432.77654,767.7149999999999,9349.74
ETD7BR,8964c3,37.102,32.1295,False,United Arab Emirates,278.94,11887.2,-0.33,6,12550.14,ETD,542.21473,-64.9605,11887.2
FHY1322,4b991a,36.567,30.6502,False,Turkey,134.9,1295.4,-3.58,0,1394.46,FHY,262.22402,-704.723,1295.4
FHY752,4b990e,37.1231,30.6363,False,Turkey,164.23,3467.1,-5.85,0,3726.18,FHY,319.23684,-1151.5725,3467.1
UAE5WR,8964a7,39.429,28.0261,False,United Arab Emirates,272.52,10668.0,0.0,0,11285.22,UAE,529.73528,0.0,10668.0
SVW22CO,4d0208,37.0791,29.3846,False,Luxembourg,206.69,11666.22,7.48,0,12374.88,SVW,401.77229,1472.438,11666.22
ETD7EE,8965f4,41.8486,30.2339,False,United Arab Emirates,265.72,11269.98,16.26,0,11772.9,ETD,516.51716,3200.7810000000004,11269.98
AHY8105,600803,41.2122,41.431,False,Azerbaijan,203.39,10972.8,0.0,0,11445.24,AHY,395.35762,0.0,10972.8
